dog,condition,choice,test_trial_number,latency,"first_trial_fam (1=yes, followed communicator)",first_trial_fam_type,first_baited_box,age,sex,breed,fci_group,parker_group,communicator,hider,ant_look,notes,second_trial_fam_type
Xsarah,FalseBelief,baited,7,,1,no_displacement,brown,8,f,hovawart,2,unknown_alpine,JK,LL,,,
Uzuri,TrueBelief,baited,7,,1,no_displacement,brown,4,f,hovawart,2,unknown_alpine,JK,LL,,,
Hera,TrueBelief,baited,7,,1,no_displacement,blue,2,f,rottweiler,2,drover,JK,LL,,,
Ava,TrueBelief,baited,9,,1,no_displacement,brown,1,f,irish_setter,7,pointer_setter,BM,JK,,,
Roxy5,TrueBelief,baited,7,,1,no_displacement,blue,5,f,irish_setter,7,pointer_setter,BM,JK,,,
Aramis6,TrueBelief,baited,7,,1,displacement,brown,5,m,english_setter,7,pointer_setter,BM,JK,,,
Resi,FalseBelief,empty,7,,1,no_displacement,brown,1,f,english_setter,7,pointer_setter,BM,JK,,,
Butch,FalseBelief,empty,9,,1,no_displacement,brown,1,m,boxer,2,european_mastiff,JK,LL,,,
Ame,TrueBelief,baited,7,,1,no_displacement,brown,4,m,akita_inu,5,asian_spitz,JK,LL,,,
Kiani,TrueBelief,empty,7,,1,displacement,brown,2,f,whippet,10,uk_rural,JK,LL,,,
Geronimo,TrueBeliefControl,baited,7,,1,no_displacement,blue,2,m,beagle,6,scent_hound,LL,VS,,sausages,displacement
Toni,TrueBeliefControl,baited,9,,1,displacement,brown,3,f,beagle,6,scent_hound,LL,VS,,sausages,displacement
Diva,TrueBeliefControl,baited,9,,1,no_displacement,brown,8,f,bulldog,2,european_mastiff,LL,VS,,,displacement
Mira3,TrueBeliefControl,baited,9,,1,no_displacement,blue,6,f,bernese_mountain_dog,2,alpine,LL,VS,,sausages,no_displacement
Bailey3,TrueBeliefControl,empty,9,,1,no_displacement,brown,5,m,vizsla,7,pointer_setter,LL,VS,,own food (sausages),no_displacement
Emma16,TrueBeliefControl,baited,9,,1,no_displacement,blue,2,f,beagle,6,scent_hound,LL,AE,,,displacement
Azzurro,TrueBeliefControl,baited,9,,1,displacement,blue,3,m,vizsla,7,pointer_setter,LL,AE,,,displacement
Freja,TrueBeliefControl,empty,7,,1,no_displacement,blue,0.92,f,vizsla,7,pointer_setter,LL,AE,,,displacement
Nacho2,TrueBeliefControl,empty,7,,1,displacement,brown,0.42,m,german_shepherd,1,new_world,LL,AE,,,no_displacement
Edna,TrueBeliefControl,baited,7,,1,displacement,brown,10,f,vizsla,7,pointer_setter,LL,AE,,sausages,no_displacement
Emilio,TrueBeliefControl,empty,7,,1,displacement,brown,5,m,golden_retriever,8,retriever,LL,AE,,more trained to obey commands than the average dog,no_displacement
Aron7,TrueBeliefControl,baited,7,,1,no_displacement,blue,1,m,labrador_retriever,8,retriever,LL,VS,,,displacement
Lana,TrueBeliefControl,baited,7,,1,displacement,blue,3,f,border_collie,1,uk_rural,LL,VS,,,displacement
June_2,TrueBeliefControl,empty,7,,1,no_displacement,brown,5,f,australian_shepherd,1,uk_rural,LL,VS,,,displacement
Emma12,TrueBeliefControl,baited,7,,1,displacement,brown,2,f,labrador_retriever,8,retriever,LL,AE,,,displacement
Luna29,TrueBeliefControl,baited,7,,1,displacement,blue,4,f,australian_shepherd,1,uk_rural,LL,AE,,,no_displacement
Elli4,TrueBeliefControl,empty,9,,1,no_displacement,blue,2,f,australian_shepherd,1,uk_rural,LL,AE,,,displacement
Lenny6,TrueBeliefControl,empty,7,,1,no_displacement,blue,5,m,german_shepherd,1,new_world,LL,VS,,sausages,displacement
Kairi,TrueBeliefControl,empty,7,,1,no_displacement,brown,3,f,siberian_husky,5,asian_spitz,LL,VS,,,no_displacement
Thor,TrueBeliefControl,baited,7,,1,displacement,blue,3,m,siberian_husky,5,asian_spitz,LL,VS,,,displacement
Fini,TrueBeliefControl,empty,7,,1,displacement,blue,5,f,rottweiler,2,drover,LL,VS,,first trial repeated bc the wrong bucket was baited (total trials:8),no_displacement
Aaron,TrueBeliefControl,baited,7,,1,displacement,brown,8,m,labrador_retriever,8,retriever,LL,VS,,own food,no_displacement
Haly,TrueBeliefControl,baited,9,,1,displacement,brown,9,f,jack_russell_terrier,3,terrier,LL,VS,,,no_displacement
Nova2,TrueBeliefControl,baited,9,,1,no_displacement,blue,4,f,labrador_retriever,8,retriever,LL,VS,,own food,no_displacement
Prix,TrueBeliefControl,baited,7,,1,no_displacement,brown,0.67,m,belgian_shepherd,1,continental_herder,LL,AE,,,no_displacement
Tanja,TrueBeliefControl,baited,7,,1,displacement,blue,4,f,samoyed,5,asian_spitz,LL,AE,,,no_displacement
Lina2,TrueBeliefControl,empty,7,,1,no_displacement,blue,2,f,siberian_husky,5,asian_spitz,LL,AE,,,no_displacement
Luna30,TrueBeliefControl,baited,7,,1,displacement,blue,0.83,f,border_collie,1,uk_rural,LL,AE,,,no_displacement
Fenix,TrueBeliefControl,baited,7,,1,displacement,brown,3,m,labrador_retriever,8,retriever,LL,AE,,,no_displacement
Elvis3,TrueBeliefControl,empty,9,,1,no_displacement,blue,3,m,labrador_retriever,8,retriever,LL,AE,,,displacement
Jaimie,TrueBeliefControl,baited,7,,1,no_displacement,brown,0.42,m,border_collie,1,uk_rural,LL,AE,,,displacement
